player,line
Kirk Cousins,263.5
Justin Herbert,280.5
Justin Fields,186.5
Daniel Jones,231.5
Geno Smith,260.5
Trevor Lawrence,250.5
Jalen Hurts,300.5
Jacoby Brissett,226.5
Ryan Tannehill,228.5
Matt Ryan,239.5
Josh Allen,325.5
Lamar Jackson,285.5
Kyler Murray,260.5
Baker Mayfield,215.5
Russell Wilson,249.5
Derek Carr,274.5
Aaron Rodgers,239.5
Patrick Mahomes,283.5
Matthew Stafford,264.5
Jimmy Garoppolo,224.5
