player,line
Bailey Falter,15.5
Adrian Sampson,16.5
Nick Pivetta,15.5
Alek Manoah,19.5
Max Fried,17.5
Sandy Alcantara,20.5
Corbin Burnes,18.5
Reid Detmers,17.5
Yu Darvish,19.5
Chad Kuhl,13.5
