player,line
Kirk Cousins,22.0
Davis Mills,21.5
Daniel Jones,17.5
Geno Smith,23.0
Trevor Lawrence,23.0
Jalen Hurts,20.5
Zach Wilson,19.0
Mitch Trubisky,20.5
Jacoby Brissett,19.5
Ryan Tannehill,19.5
Matt Ryan,21.5
Josh Allen,24.5
Lamar Jackson,20.0
Kyler Murray,23.0
Baker Mayfield,18.5
Russell Wilson,21.0
Derek Carr,24.0
Aaron Rodgers,22.0
Patrick Mahomes,25.0
Tom Brady,25.0
Matthew Stafford,23.5
Jimmy Garoppolo,19.0
