player,line
Cooper Rush,12.0
Daniel Jones,15.0
Ezekiel Elliott,11.0
Saquon Barkley,18.0
CeeDee Lamb,14.0
Sterling Shepard,10.0
Noah Brown,8.0
Richie James,8.5
Brett Maher,8.0
Graham Gano,8.0
Cowboys DST,6.5
Giants DST,6.5
