player,line
Anthony Barr,6.5
Xavier McKinney,5.0
Anthony Brown,4.5
Adoree' Jackson,3.5
Donovan Wilson,6.5
Julian Love,5.0
Leighton Vander Esch,7.5
Tae Crowder,6.5
Micah Parsons,4.0
Trevon Diggs,3.5
